perioada:1981 - 2010
parametru:Temperatura aer - medie lunara (TEMP_MEDL)
cod;statia;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII;anuala
element: media
422345;ISALNITA;-1.2;-0.2;5.2;11.3;16.4;20;22.1;21.7;17.5;10.9;4.1;0.1;10.7
547042;JIMBOLIA;-0.4;1.2;5.6;11.6;17.3;20.3;22.2;21.7;16.4;11.2;5.5;0.6;11.1
642540;JOSENI;-6.4;-5;0.2;6.3;12;15;16.5;15.9;11.3;6.1;0;-5;5.6
446853;JURILOVCA;0;0.7;4.5;10.2;16.1;20.5;22.9;22.4;17.4;12;6.2;1.4;11.2
551621;LACAUTI;-7.3;-7.7;-4.8;0.2;5.7;8.9;10.9;10.9;6.6;2.7;-2;-5.8;1.5
701420;LECHINTA;-2.9;-1.6;3.1;9.4;14.6;17.7;19.5;18.7;13.7;8.3;2.7;-1.9;8.4
541154;LUGOJ;-0.3;1.1;5.8;11.3;16.5;19.4;21.4;21.1;16.2;11.2;5.7;1.3;10.9
505904;MAHMUDIA;-0.6;0.8;4.3;10;16.1;20.4;22.8;22.4;16.8;11.7;6.1;0.6;10.9
530729;MAICANESTI;-1.7;-1;3.9;10.5;16.7;20.6;22.3;21.6;16.9;10.7;3.8;-0.8;10.3
349835;MANGALIA;1.6;2.1;5.3;9.9;15.4;20.1;22.6;22.6;18.3;13.4;7.9;3.4;11.9
425730;MARCULESTI;-1.4;-0.4;4.4;10.7;16.6;20.5;22.2;21.5;17.1;11.1;4.2;0.2;10.5
415816;MEDGIDIA;-0.1;1;5.2;10.6;16.4;20.7;22.7;22.1;17.4;12;6.3;1.5;11.3
622544;MIERCUREA CIUC;-6.5;-5.4;0.2;6.6;12.2;15.4;17;16.1;11.3;6;0;-5;5.6
603138;MINIS;-1.5;-0.3;5.6;11.4;17;18.8;21;20.8;18.3;12.4;5.7;1.7;10.9
444127;MOLDOVA VECHE;0.5;1.9;6.6;12.2;17.5;20.6;22.7;22.6;17.7;12.5;6.7;1.9;12
629214;MONEASA IZOI;-2.4;-1.7;3.3;7.9;12.7;14.9;17.4;17;13.6;8.9;2.7;-0.4;7.8
411826;MURFATLAR;0.1;-0.7;3.6;10.1;16.3;20.2;21.3;20.9;17.6;12;5.3;2.7;10.9
621310;MUSCA;-4.2;-3.6;1.6;4.7;13.3;15.7;16;16.9;-;-;-;-;-
521349;NEGOVANU;-6.1;-6.4;-4.3;-0.6;4.4;8.5;10.4;10.7;5.8;2.9;-2.4;-5.7;1.4
752325;NEGRESTI OAS;-1.6;0.6;4.9;11;15.5;17.7;20.2;19;14.6;9.4;3.6;-0.5;9.5
650727;NEGRESTI(VASLUI);-2.6;-1.3;3.5;9.9;15.9;19.4;21.2;20.3;15.2;9.7;3.7;-1.2;9.5
711243;NUSFALAU;-1.3;-0.1;3.8;9.9;15.3;18.9;20.2;19.6;14.1;9.3;4.3;-0.6;9.5
526338;OB.LOTRULUI;-6;-5.6;-2.5;2.1;7.3;10.9;12.7;12.1;8.2;4.2;-1.1;-4.8;3.1
747356;OC.SUGATAG;-2.5;-1.5;2.9;8.6;14;16.6;18.5;17.9;13.3;8.6;3.2;-1.5;8.2
546704;ODOBESTI;-0.8;-0.1;4.4;10.7;16.6;20;21.8;21.2;16.7;11;4.2;0.2;10.4
618518;ODORHEIUL SECUIESC;-2.9;-2;2.9;8.8;14;17;18.7;18.2;13.6;8.6;3.2;-1.6;8.2
512415;OLANESTI BAI;-0.5;0.7;4.1;8.9;13.5;17.3;19;18.8;13.8;9.5;3.8;-0.3;9
404638;OLTENITA;-1;0.8;5.7;11.8;17.7;21.5;23.5;22.9;17.6;11.6;5.5;0.3;11.5
628716;ONCESTI;-2.6;-1.8;2.8;9.2;15.2;18.7;20.2;19.5;14.9;9.2;2.4;-1.6;8.8
703156;ORADEA;-0.9;0.4;5.3;11.1;16.6;19.5;21.5;21;16.1;10.9;5.1;0.6;10.6
502141;ORAVITA;0.5;1.7;6.1;11.5;16.5;19.3;21.5;21.5;16.9;12.2;6.7;2.1;11.4
501252;PADES(APA NEAGRA);-1.9;-0.1;4.6;10.3;15.7;19.2;21;20.3;15.3;9.7;3.9;-0.6;9.8
539357;PALTINIS;-3.7;-4.1;-1.2;3.5;8.8;11.8;13.7;13.7;9.5;5.7;1.1;-2.5;4.7
523328;PARANG;-4.6;-5;-2.4;2.6;7.9;11.1;13.1;13.1;8.8;4.8;0.2;-3.4;3.8
715643;PASCANI;-2.8;-1.6;2.4;8.9;14.8;18.3;20;19.1;13.9;8.4;1.9;-2.3;8.4
519622;PATIRLAGELE;-0.3;0.5;4.5;10;15.6;18.9;20.7;20;15.4;10;4.6;0.5;10
534505;PECINEAGU;-3.6;-6.3;-0.7;3.3;8.3;11.5;12;13.8;9.3;6.9;0;-4.6;4
536625;PENTELEU;-6.5;-6.5;-4.1;1;6.4;9.7;11.9;11.9;6.8;3.4;-1.2;-5.5;2.3
525323;PETROSANI;-2.1;-0.9;3.1;8.2;13.1;16.3;18;17.5;13.1;8.5;3.2;-1;8.1
656621;PIATRA NEAMT;-1.8;-1;3.1;9;14.9;18.1;19.9;19.3;14.7;9.4;3.4;-0.8;9
534253;PICLISA;-2.1;-0.6;4.1;9.3;14.4;17.3;19.2;18.8;14.2;9.2;3.4;-0.7;8.9
502608;PIETROASELE;0.4;1;5;10.8;16.6;20.1;22.2;21.6;17.3;12.1;5.2;1.6;11.2
452452;PITESTI;-0.5;0.5;4.9;10.4;15.8;19.5;21.4;20.8;16;10.5;4.8;0.5;10.4
414312;PLENITA;-0.6;1.7;5;11.3;17.7;21.3;23.1;23;17.2;11.4;4.2;-0.1;11.2
